timestamp,open,high,low,close,volume
7/9/2024 19:59,176.52,176.52,176.48,176.48,256
7/9/2024 19:51,176.64,176.64,176.64,176.64,5
7/9/2024 19:46,176.63,176.63,176.63,176.63,1
7/9/2024 19:24,176.48,176.48,176.48,176.48,10
7/9/2024 19:22,176.56,176.64,176.56,176.64,10
7/9/2024 19:20,176.57,176.57,176.57,176.57,6
7/9/2024 19:17,176.48,176.48,176.48,176.48,100
7/9/2024 19:07,176.6,176.6,176.6,176.6,1
7/9/2024 19:00,176.48,176.48,176.48,176.48,477615
7/9/2024 18:54,176.48,176.48,176.48,176.48,5
7/9/2024 18:45,176.64,176.64,176.64,176.64,1
7/9/2024 18:44,176.43,176.43,176.43,176.43,2
7/9/2024 18:40,176.55,176.55,176.55,176.55,5
7/9/2024 18:39,176.23,176.23,176.2,176.21,21
7/9/2024 18:36,176.2,176.2,176.2,176.2,3
7/9/2024 18:30,176.48,176.48,176.48,176.48,477615
7/9/2024 18:22,176.202,176.202,176.202,176.202,100
7/9/2024 18:18,176.35,176.35,176.35,176.35,125
7/9/2024 18:16,176.65,176.65,176.65,176.65,3
7/9/2024 17:56,176.58,176.58,176.58,176.58,1
7/9/2024 17:43,176.57,176.57,176.57,176.57,1
7/9/2024 17:39,176.22,176.22,176.22,176.22,5
7/9/2024 17:36,176.2,176.2,176.2,176.2,21
7/9/2024 17:32,176.57,176.57,176.57,176.57,1
7/9/2024 17:27,176.22,176.22,176.22,176.22,1
7/9/2024 17:21,176.57,176.57,176.57,176.57,6
7/9/2024 17:19,176.58,176.58,176.58,176.58,1
7/9/2024 17:16,176.49,176.49,176.49,176.49,4
7/9/2024 17:13,176.3,176.3,176.3,176.3,4
7/9/2024 17:10,176.29,176.29,176.29,176.29,4
7/9/2024 16:53,176.48,176.59,176.48,176.59,4025
7/9/2024 16:48,176.48,176.48,176.32,176.32,3375
7/9/2024 16:45,176.51,176.51,176.5,176.5,36
7/9/2024 16:43,176.45,176.47,176.45,176.47,500
7/9/2024 16:39,176.46,176.46,176.46,176.46,1
7/9/2024 16:36,175.81,175.81,175.81,175.81,1
7/9/2024 16:32,176.46,176.46,176.46,176.46,1
7/9/2024 16:29,176,176,175.82,175.82,6
7/9/2024 16:27,176.47,176.47,176.47,176.47,4
7/9/2024 16:20,176.48,176.48,176.48,176.48,4353
7/9/2024 16:16,176.47,176.47,176.47,176.47,36
7/9/2024 16:15,176.48,176.48,176.48,176.48,2
7/9/2024 16:14,176.46,176.47,176.46,176.47,439
7/9/2024 16:12,176.22,176.46,176.22,176.46,110
7/9/2024 16:10,176.48,176.48,176.48,176.48,477615
7/9/2024 16:09,176.4,176.4,176.4,176.4,1
7/9/2024 16:08,176.48,176.48,176.47,176.47,11761
7/9/2024 16:07,176.48,176.48,176.48,176.48,5560
7/9/2024 16:06,176.48,176.48,176.48,176.48,3278
7/9/2024 16:05,176.47,176.47,176.4,176.41,11
7/9/2024 16:03,176.48,176.51,176.48,176.5,6361
7/9/2024 16:02,176.48,176.48,176.48,176.48,4776
7/9/2024 16:01,176.48,176.48,176.48,176.48,699
7/9/2024 16:00,176.48,177.39,176.48,176.48,1026525
7/9/2024 15:59,176.42,176.52,176.37,176.48,92114
7/9/2024 15:58,176.39,176.46,176.37,176.435,33897
7/9/2024 15:57,176.295,176.4,176.28,176.395,27135
7/9/2024 15:56,176.21,176.32,176.17,176.29,30869
7/9/2024 15:55,176.09,176.3,176.09,176.23,33124
